,0
  (0, 1414)	1.0"
410,"  (0, 117)	1.0
  (0, 256)	1.0
  (0, 367)	1.0
  (0, 417)	1.0
  (0, 422)	1.0
  (0, 514)	1.0
  (0, 698)	1.0
  (0, 701)	1.0
  (0, 729)	1.0
  (0, 778)	1.0
  (0, 810)	1.0
  (0, 913)	1.0
  (0, 1024)	1.0
  (0, 1131)	1.0
  (0, 1144)	1.0
  (0, 1156)	1.0
  (0, 1177)	1.0"
411,"  (0, 25)	1.0
  (0, 44)	1.0
  (0, 61)	1.0
  (0, 140)	1.0
  (0, 308)	1.0
  (0, 395)	1.0
  (0, 507)	1.0
  (0, 522)	1.0
  (0, 625)	1.0
  (0, 960)	1.0
  (0, 963)	1.0
  (0, 1131)	1.0
  (0, 1171)	1.0
  (0, 1177)	1.0
  (0, 1179)	1.0
  (0, 1256)	1.0
  (0, 1301)	1.0
  (0, 1328)	1.0
  (0, 1332)	1.0
  (0, 1352)	1.0"
412,"  (0, 10)	1.0
  (0, 25)	1.0
  (0, 26)	1.0
  (0, 154)	1.0
  (0, 170)	1.0
  (0, 274)	1.0
  (0, 334)	1.0
  (0, 408)	1.0
  (0, 414)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 1049)	1.0
  (0, 1096)	1.0
  (0, 1118)	1.0
  (0, 1122)	1.0
  (0, 1160)	1.0
  (0, 1230)	1.0
  (0, 1266)	1.0
  (0, 1298)	1.0
  (0, 1332)	1.0
  (0, 1393)	1.0"
413,"  (0, 58)	1.0
  (0, 62)	1.0
  (0, 96)	1.0
  (0, 204)	1.0
  (0, 222)	1.0
  (0, 321)	1.0
  (0, 464)	1.0
  (0, 479)	1.0
  (0, 505)	1.0
  (0, 559)	1.0
  (0, 749)	1.0
  (0, 860)	1.0
  (0, 979)	1.0
  (0, 1005)	1.0
  (0, 1032)	1.0
  (0, 1177)	1.0
  (0, 1178)	1.0
  (0, 1251)	1.0
  (0, 1292)	1.0
  (0, 1328)	1.0
  (0, 1335)	1.0
  (0, 1409)	1.0
  (0, 1426)	1.0"
414,"  (0, 2)	1.0
  (0, 19)	1.0
  (0, 136)	1.0
  (0, 146)	1.0
  (0, 157)	1.0
  (0, 168)	1.0
  (0, 261)	1.0
  (0, 292)	1.0
  (0, 402)	1.0
  (0, 408)	1.0
  (0, 675)	1.0
  (0, 707)	1.0
  (0, 859)	1.0
  (0, 959)	1.0
  (0, 1076)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0"
415,"  (0, 52)	1.0
  (0, 157)	1.0
  (0, 176)	1.0
  (0, 330)	1.0
  (0, 417)	1.0
  (0, 468)	1.0
  (0, 601)	1.0
  (0, 619)	1.0
  (0, 632)	1.0
  (0, 647)	1.0
  (0, 696)	1.0
  (0, 755)	1.0
  (0, 774)	1.0
  (0, 786)	1.0
  (0, 911)	1.0
  (0, 912)	1.0
  (0, 1126)	1.0
  (0, 1138)	1.0
  (0, 1169)	1.0
  (0, 1174)	1.0
  (0, 1252)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1352)	1.0"
416,"  (0, 250)	1.0
  (0, 647)	1.0
  (0, 698)	1.0
  (0, 701)	1.0
  (0, 725)	1.0
  (0, 1022)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1211)	1.0
  (0, 1217)	1.0
  (0, 1259)	1.0
  (0, 1263)	1.0
  (0, 1332)	1.0
  (0, 1384)	1.0"
417,"  (0, 149)	1.0
  (0, 301)	1.0
  (0, 619)	1.0
  (0, 648)	1.0
  (0, 684)	1.0
  (0, 701)	1.0
  (0, 790)	1.0
  (0, 860)	1.0
  (0, 874)	1.0
  (0, 915)	1.0
  (0, 937)	1.0
  (0, 1049)	1.0
  (0, 1051)	1.0
  (0, 1071)	1.0
  (0, 1178)	1.0
  (0, 1233)	1.0
  (0, 1251)	1.0
  (0, 1281)	1.0
  (0, 1301)	1.0"
418,"  (0, 65)	1.0
  (0, 378)	1.0
  (0, 461)	1.0
  (0, 573)	1.0
  (0, 574)	1.0
  (0, 610)	1.0
  (0, 708)	1.0
  (0, 777)	1.0
  (0, 1021)	1.0
  (0, 1132)	1.0
  (0, 1177)	1.0
  (0, 1178)	1.0
  (0, 1213)	1.0
  (0, 1235)	1.0
  (0, 1246)	1.0
  (0, 1332)	1.0
  (0, 1355)	1.0
  (0, 1389)	1.0
  (0, 1392)	1.0"
419,"  (0, 39)	1.0
  (0, 41)	1.0
  (0, 292)	1.0
  (0, 507)	1.0
  (0, 586)	1.0
  (0, 597)	1.0
  (0, 612)	1.0
  (0, 870)	1.0
  (0, 935)	1.0
  (0, 1071)	1.0
  (0, 1132)	1.0
  (0, 1172)	1.0
  (0, 1177)	1.0
  (0, 1181)	1.0
  (0, 1267)	1.0
  (0, 1349)	1.0
  (0, 1351)	1.0
  (0, 1395)	1.0"
420,"  (0, 39)	1.0
  (0, 132)	1.0
  (0, 179)	1.0
  (0, 237)	1.0
  (0, 274)	1.0
  (0, 411)	1.0
  (0, 475)	1.0
  (0, 536)	1.0
  (0, 540)	1.0
  (0, 697)	1.0
  (0, 701)	1.0
  (0, 749)	1.0
  (0, 932)	1.0
  (0, 1253)	1.0
  (0, 1254)	1.0
  (0, 1263)	1.0
  (0, 1330)	1.0
  (0, 1347)	1.0
  (0, 1353)	1.0"
421,"  (0, 6)	1.0
  (0, 88)	1.0
  (0, 136)	1.0
  (0, 168)	1.0
  (0, 175)	1.0
  (0, 213)	1.0
  (0, 276)	1.0
  (0, 383)	1.0
  (0, 434)	1.0
  (0, 540)	1.0
  (0, 623)	1.0
  (0, 628)	1.0
  (0, 647)	1.0
  (0, 702)	1.0
  (0, 715)	1.0
  (0, 755)	1.0
  (0, 778)	1.0
  (0, 970)	1.0
  (0, 1134)	1.0
  (0, 1144)	1.0
  (0, 1302)	1.0
  (0, 1388)	1.0
  (0, 1397)	1.0"
422,"  (0, 99)	1.0
  (0, 1149)	1.0
  (0, 1263)	1.0
  (0, 1353)	1.0"
423,"  (0, 6)	1.0
  (0, 61)	1.0
  (0, 93)	1.0
  (0, 99)	1.0
  (0, 126)	1.0
  (0, 130)	1.0
  (0, 203)	1.0
  (0, 240)	1.0
  (0, 259)	1.0
  (0, 348)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 640)	1.0
  (0, 721)	1.0
  (0, 732)	1.0
  (0, 780)	1.0
  (0, 930)	1.0
  (0, 934)	1.0
  (0, 1091)	1.0
  (0, 1149)	1.0
  (0, 1151)	1.0
  (0, 1157)	1.0
  (0, 1301)	1.0
  (0, 1352)	1.0
  (0, 1393)	1.0"
424,"  (0, 19)	1.0
  (0, 42)	1.0
  (0, 230)	1.0
  (0, 383)	1.0
  (0, 440)	1.0
  (0, 504)	1.0
  (0, 625)	1.0
  (0, 647)	1.0
  (0, 678)	1.0
  (0, 715)	1.0
  (0, 774)	1.0
  (0, 786)	1.0
  (0, 803)	1.0
  (0, 957)	1.0
  (0, 1035)	1.0
  (0, 1071)	1.0
  (0, 1159)	1.0
  (0, 1174)	1.0
  (0, 1224)	1.0
  (0, 1263)	1.0
  (0, 1392)	1.0
  (0, 1425)	1.0"
425,"  (0, 85)	1.0
  (0, 132)	1.0
  (0, 445)	1.0
  (0, 540)	1.0
  (0, 543)	1.0
  (0, 558)	1.0
  (0, 588)	1.0
  (0, 973)	1.0
  (0, 1060)	1.0
  (0, 1076)	1.0
  (0, 1138)	1.0
  (0, 1263)	1.0
  (0, 1272)	1.0
  (0, 1280)	1.0
  (0, 1295)	1.0
  (0, 1299)	1.0
  (0, 1353)	1.0
  (0, 1357)	1.0
  (0, 1361)	1.0
  (0, 1384)	1.0"
426,"  (0, 31)	1.0
  (0, 132)	1.0
  (0, 250)	1.0
  (0, 597)	1.0
  (0, 647)	1.0
  (0, 648)	1.0
  (0, 698)	1.0
  (0, 821)	1.0
  (0, 971)	1.0
  (0, 998)	1.0
  (0, 1040)	1.0
  (0, 1160)	1.0
  (0, 1177)	1.0
  (0, 1184)	1.0
  (0, 1247)	1.0
  (0, 1249)	1.0
  (0, 1352)	1.0
  (0, 1381)	1.0
  (0, 1412)	1.0
  (0, 1414)	1.0
  (0, 1424)	1.0"
427,"  (0, 41)	1.0
  (0, 187)	1.0
  (0, 506)	1.0
  (0, 507)	1.0
  (0, 581)	1.0
  (0, 593)	1.0
  (0, 594)	1.0
  (0, 624)	1.0
  (0, 648)	1.0
  (0, 723)	1.0
  (0, 860)	1.0
  (0, 874)	1.0
  (0, 937)	1.0
  (0, 1015)	1.0
  (0, 1097)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1219)	1.0
  (0, 1263)	1.0
  (0, 1291)	1.0
  (0, 1332)	1.0
  (0, 1380)	1.0
  (0, 1395)	1.0"
428,"  (0, 38)	1.0
  (0, 83)	1.0
  (0, 124)	1.0
  (0, 228)	1.0
  (0, 393)	1.0
  (0, 505)	1.0
  (0, 560)	1.0
  (0, 581)	1.0
  (0, 588)	1.0
  (0, 606)	1.0
  (0, 763)	1.0
  (0, 869)	1.0
  (0, 969)	1.0
  (0, 1078)	1.0
  (0, 1123)	1.0
  (0, 1143)	1.0
  (0, 1149)	1.0
  (0, 1177)	1.0
  (0, 1263)	1.0
  (0, 1308)	1.0
  (0, 1393)	1.0"
429,"  (0, 39)	1.0
  (0, 93)	1.0
  (0, 328)	1.0
  (0, 436)	1.0
  (0, 521)	1.0
  (0, 564)	1.0
  (0, 694)	1.0
  (0, 808)	1.0
  (0, 902)	1.0
  (0, 961)	1.0
  (0, 1079)	1.0
  (0, 1151)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1202)	1.0
  (0, 1203)	1.0
  (0, 1273)	1.0
  (0, 1312)	1.0
  (0, 1339)	1.0
  (0, 1381)	1.0
  (0, 1395)	1.0"
430,"  (0, 2)	1.0
  (0, 12)	1.0
  (0, 93)	1.0
  (0, 131)	1.0
  (0, 190)	1.0
  (0, 191)	1.0
  (0, 192)	1.0
  (0, 406)	1.0
  (0, 447)	1.0
  (0, 591)	1.0
  (0, 725)	1.0
  (0, 757)	1.0
  (0, 854)	1.0
  (0, 1177)	1.0
  (0, 1305)	1.0
  (0, 1352)	1.0
  (0, 1383)	1.0
  (0, 1397)	1.0
  (0, 1426)	1.0"
431,"  (0, 114)	1.0
  (0, 368)	1.0
  (0, 401)	1.0
  (0, 411)	1.0
  (0, 464)	1.0
  (0, 625)	1.0
  (0, 644)	1.0
  (0, 663)	1.0
  (0, 755)	1.0
  (0, 758)	1.0
  (0, 877)	1.0
  (0, 915)	1.0
  (0, 988)	1.0
  (0, 1041)	1.0
  (0, 1075)	1.0
  (0, 1112)	1.0
  (0, 1118)	1.0
  (0, 1168)	1.0
  (0, 1177)	1.0
  (0, 1274)	1.0
  (0, 1368)	1.0
  (0, 1426)	1.0"
432,"  (0, 23)	1.0
  (0, 247)	1.0
  (0, 291)	1.0
  (0, 378)	1.0
  (0, 474)	1.0
  (0, 507)	1.0
  (0, 801)	1.0
  (0, 1131)	1.0
  (0, 1159)	1.0
  (0, 1177)	1.0
  (0, 1328)	1.0
  (0, 1333)	1.0
  (0, 1379)	1.0"
433,"  (0, 16)	1.0
  (0, 498)	1.0
  (0, 698)	1.0
  (0, 723)	1.0
  (0, 1144)	1.0
  (0, 1208)	1.0
  (0, 1251)	1.0
  (0, 1254)	1.0
  (0, 1345)	1.0"
434,"  (0, 89)	1.0
  (0, 96)	1.0
  (0, 124)	1.0
  (0, 214)	1.0
  (0, 330)	1.0
  (0, 437)	1.0
  (0, 470)	1.0
  (0, 507)	1.0
  (0, 514)	1.0
  (0, 722)	1.0
  (0, 756)	1.0
  (0, 869)	1.0
  (0, 926)	1.0
  (0, 994)	1.0
  (0, 1086)	1.0
  (0, 1177)	1.0
  (0, 1196)	1.0
  (0, 1209)	1.0
  (0, 1252)	1.0
  (0, 1263)	1.0
  (0, 1345)	1.0"
435,"  (0, 19)	1.0
  (0, 41)	1.0
  (0, 305)	1.0
  (0, 510)	1.0
  (0, 540)	1.0
  (0, 647)	1.0
  (0, 720)	1.0
  (0, 774)	1.0
  (0, 855)	1.0
  (0, 1075)	1.0
  (0, 1156)	1.0
  (0, 1308)	1.0
  (0, 1389)	1.0
  (0, 1392)	1.0
  (0, 1431)	1.0"
436,"  (0, 93)	1.0
  (0, 216)	1.0
  (0, 249)	1.0
  (0, 398)	1.0
  (0, 487)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 509)	1.0
  (0, 583)	1.0
  (0, 604)	1.0
  (0, 714)	1.0
  (0, 754)	1.0
  (0, 756)	1.0
  (0, 821)	1.0
  (0, 1041)	1.0
  (0, 1049)	1.0
  (0, 1075)	1.0
  (0, 1118)	1.0
  (0, 1263)	1.0
  (0, 1303)	1.0
  (0, 1339)	1.0
  (0, 1355)	1.0"
437,"  (0, 19)	1.0
  (0, 39)	1.0
  (0, 61)	1.0
  (0, 63)	1.0
  (0, 81)	1.0
  (0, 128)	1.0
  (0, 229)	1.0
  (0, 261)	1.0
  (0, 330)	1.0
  (0, 623)	1.0
  (0, 735)	1.0
  (0, 758)	1.0
  (0, 760)	1.0
  (0, 774)	1.0
  (0, 855)	1.0
  (0, 969)	1.0
  (0, 973)	1.0
  (0, 1156)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1360)	1.0"
438,"  (0, 132)	1.0
  (0, 403)	1.0
  (0, 409)	1.0
  (0, 470)	1.0
  (0, 640)	1.0
  (0, 675)	1.0
  (0, 754)	1.0
  (0, 810)	1.0
  (0, 838)	1.0
  (0, 1099)	1.0
  (0, 1118)	1.0
  (0, 1179)	1.0
  (0, 1188)	1.0
  (0, 1257)	1.0
  (0, 1259)	1.0
  (0, 1263)	1.0
  (0, 1289)	1.0
  (0, 1357)	1.0
  (0, 1389)	1.0
  (0, 1391)	1.0"
439,"  (0, 45)	1.0
  (0, 73)	1.0
  (0, 85)	1.0
  (0, 88)	1.0
  (0, 128)	1.0
  (0, 130)	1.0
  (0, 157)	1.0
  (0, 231)	1.0
  (0, 261)	1.0
  (0, 560)	1.0
  (0, 647)	1.0
  (0, 715)	1.0
  (0, 755)	1.0
  (0, 774)	1.0
  (0, 812)	1.0
  (0, 1050)	1.0
  (0, 1071)	1.0
  (0, 1352)	1.0
  (0, 1392)	1.0"
440,"  (0, 509)	1.0
  (0, 661)	1.0
  (0, 826)	1.0
  (0, 1079)	1.0
  (0, 1209)	1.0"
441,"  (0, 370)	1.0
  (0, 442)	1.0
  (0, 615)	1.0
  (0, 697)	1.0
  (0, 725)	1.0
  (0, 828)	1.0
  (0, 840)	1.0
  (0, 860)	1.0
  (0, 939)	1.0
  (0, 971)	1.0
  (0, 1022)	1.0
  (0, 1059)	1.0
  (0, 1076)	1.0
  (0, 1123)	1.0
  (0, 1177)	1.0
  (0, 1179)	1.0
  (0, 1198)	1.0
  (0, 1209)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0"
442,"  (0, 703)	1.0
  (0, 754)	1.0
  (0, 912)	1.0
  (0, 1412)	1.0
  (0, 1414)	1.0"
443,"  (0, 4)	1.0
  (0, 8)	1.0
  (0, 26)	1.0
  (0, 81)	1.0
  (0, 132)	1.0
  (0, 224)	1.0
  (0, 396)	1.0
  (0, 570)	1.0
  (0, 673)	1.0
  (0, 816)	1.0
  (0, 915)	1.0
  (0, 1043)	1.0
  (0, 1075)	1.0
  (0, 1203)	1.0
  (0, 1209)	1.0
  (0, 1260)	1.0
  (0, 1266)	1.0
  (0, 1305)	1.0
  (0, 1381)	1.0"
444,"  (0, 73)	1.0
  (0, 540)	1.0
  (0, 543)	1.0
  (0, 693)	1.0
  (0, 694)	1.0
  (0, 724)	1.0
  (0, 774)	1.0
  (0, 913)	1.0
  (0, 985)	1.0
  (0, 1075)	1.0
  (0, 1144)	1.0
  (0, 1208)	1.0
  (0, 1209)	1.0
  (0, 1210)	1.0
  (0, 1254)	1.0
  (0, 1258)	1.0
  (0, 1285)	1.0
  (0, 1332)	1.0
  (0, 1383)	1.0"
445,"  (0, 2)	1.0
  (0, 226)	1.0
  (0, 335)	1.0
  (0, 385)	1.0
  (0, 514)	1.0
  (0, 562)	1.0
  (0, 701)	1.0
  (0, 723)	1.0
  (0, 763)	1.0
  (0, 1071)	1.0
  (0, 1085)	1.0
  (0, 1119)	1.0
  (0, 1134)	1.0
  (0, 1170)	1.0
  (0, 1171)	1.0
  (0, 1230)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1266)	1.0
  (0, 1301)	1.0
  (0, 1343)	1.0"
446,"  (0, 247)	1.0
  (0, 339)	1.0
  (0, 380)	1.0
  (0, 381)	1.0
  (0, 473)	1.0
  (0, 479)	1.0
  (0, 489)	1.0
  (0, 507)	1.0
  (0, 723)	1.0
  (0, 730)	1.0
  (0, 755)	1.0
  (0, 808)	1.0
  (0, 958)	1.0
  (0, 1073)	1.0
  (0, 1090)	1.0
  (0, 1211)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1352)	1.0
  (0, 1425)	1.0"
447,"  (0, 153)	1.0
  (0, 205)	1.0
  (0, 336)	1.0
  (0, 375)	1.0
  (0, 456)	1.0
  (0, 494)	1.0
  (0, 647)	1.0
  (0, 648)	1.0
  (0, 723)	1.0
  (0, 783)	1.0
  (0, 874)	1.0
  (0, 958)	1.0
  (0, 979)	1.0
  (0, 1144)	1.0
  (0, 1153)	1.0
  (0, 1209)	1.0
  (0, 1255)	1.0
  (0, 1259)	1.0
  (0, 1281)	1.0
  (0, 1301)	1.0
  (0, 1332)	1.0
  (0, 1345)	1.0
  (0, 1355)	1.0"
448,"  (0, 19)	1.0
  (0, 77)	1.0
  (0, 102)	1.0
  (0, 261)	1.0
  (0, 292)	1.0
  (0, 335)	1.0
  (0, 336)	1.0
  (0, 474)	1.0
  (0, 507)	1.0
  (0, 548)	1.0
  (0, 730)	1.0
  (0, 913)	1.0
  (0, 933)	1.0
  (0, 1081)	1.0
  (0, 1141)	1.0
  (0, 1175)	1.0
  (0, 1308)	1.0
  (0, 1331)	1.0
  (0, 1349)	1.0
  (0, 1381)	1.0
  (0, 1411)	1.0"
449,"  (0, 83)	1.0
  (0, 112)	1.0
  (0, 245)	1.0
  (0, 338)	1.0
  (0, 379)	1.0
  (0, 725)	1.0
  (0, 735)	1.0
  (0, 969)	1.0
  (0, 1035)	1.0
  (0, 1075)	1.0
  (0, 1159)	1.0
  (0, 1261)	1.0
  (0, 1263)	1.0
  (0, 1308)	1.0
  (0, 1333)	1.0
  (0, 1336)	1.0
  (0, 1384)	1.0
  (0, 1386)	1.0"
450,"  (0, 87)	1.0
  (0, 132)	1.0
  (0, 206)	1.0
  (0, 211)	1.0
  (0, 330)	1.0
  (0, 338)	1.0
  (0, 339)	1.0
  (0, 434)	1.0
  (0, 489)	1.0
  (0, 507)	1.0
  (0, 553)	1.0
  (0, 695)	1.0
  (0, 701)	1.0
  (0, 756)	1.0
  (0, 876)	1.0
  (0, 926)	1.0
  (0, 944)	1.0
  (0, 1159)	1.0
  (0, 1211)	1.0
  (0, 1263)	1.0
  (0, 1281)	1.0"
451,"  (0, 1211)	1.0
  (0, 1263)	1.0"
452,"  (0, 296)	1.0
  (0, 368)	1.0
  (0, 1207)	1.0"
453,"  (0, 52)	1.0
  (0, 278)	1.0
  (0, 380)	1.0
  (0, 1018)	1.0
  (0, 1336)	1.0"
454,"  (0, 80)	1.0
  (0, 94)	1.0
  (0, 123)	1.0
  (0, 187)	1.0
  (0, 234)	1.0
  (0, 375)	1.0
  (0, 537)	1.0
  (0, 605)	1.0
  (0, 624)	1.0
  (0, 670)	1.0
  (0, 723)	1.0
  (0, 750)	1.0
  (0, 758)	1.0
  (0, 785)	1.0
  (0, 1172)	1.0
  (0, 1299)	1.0
  (0, 1328)	1.0
  (0, 1390)	1.0
  (0, 1392)	1.0"
455,"  (0, 77)	1.0
  (0, 135)	1.0
  (0, 265)	1.0
  (0, 446)	1.0
  (0, 619)	1.0
  (0, 705)	1.0
  (0, 828)	1.0"
456,"  (0, 27)	1.0
  (0, 93)	1.0
  (0, 99)	1.0
  (0, 155)	1.0
  (0, 214)	1.0
  (0, 330)	1.0
  (0, 455)	1.0
  (0, 619)	1.0
  (0, 621)	1.0
  (0, 647)	1.0
  (0, 701)	1.0
  (0, 1177)	1.0
  (0, 1262)	1.0
  (0, 1352)	1.0
  (0, 1354)	1.0
  (0, 1381)	1.0
  (0, 1389)	1.0
  (0, 1392)	1.0"
457,"  (0, 3)	1.0
  (0, 99)	1.0
  (0, 135)	1.0
  (0, 173)	1.0
  (0, 320)	1.0
  (0, 336)	1.0
  (0, 339)	1.0
  (0, 619)	1.0
  (0, 625)	1.0
  (0, 810)	1.0
  (0, 850)	1.0
  (0, 911)	1.0
  (0, 1003)	1.0
  (0, 1153)	1.0
  (0, 1177)	1.0
  (0, 1254)	1.0
  (0, 1274)	1.0
  (0, 1328)	1.0
  (0, 1352)	1.0
  (0, 1383)	1.0
  (0, 1387)	1.0"
458,"  (0, 10)	1.0
  (0, 26)	1.0
  (0, 55)	1.0
  (0, 57)	1.0
  (0, 118)	1.0
  (0, 132)	1.0
  (0, 133)	1.0
  (0, 274)	1.0
  (0, 288)	1.0
  (0, 349)	1.0
  (0, 540)	1.0
  (0, 729)	1.0
  (0, 747)	1.0
  (0, 921)	1.0
  (0, 967)	1.0
  (0, 1052)	1.0
  (0, 1177)	1.0
  (0, 1189)	1.0
  (0, 1198)	1.0
  (0, 1328)	1.0
  (0, 1389)	1.0"
459,"  (0, 19)	1.0
  (0, 173)	1.0
  (0, 187)	1.0
  (0, 551)	1.0
  (0, 697)	1.0
  (0, 718)	1.0
  (0, 749)	1.0
  (0, 774)	1.0
  (0, 777)	1.0
  (0, 911)	1.0
  (0, 937)	1.0
  (0, 978)	1.0
  (0, 981)	1.0
  (0, 1149)	1.0
  (0, 1170)	1.0
  (0, 1177)	1.0
  (0, 1262)	1.0
  (0, 1274)	1.0
  (0, 1330)	1.0
  (0, 1352)	1.0
  (0, 1383)	1.0"
460,"  (0, 39)	1.0
  (0, 99)	1.0
  (0, 148)	1.0
  (0, 176)	1.0
  (0, 212)	1.0
  (0, 238)	1.0
  (0, 431)	1.0
  (0, 507)	1.0
  (0, 540)	1.0
  (0, 668)	1.0
  (0, 755)	1.0
  (0, 760)	1.0
  (0, 816)	1.0
  (0, 872)	1.0
  (0, 912)	1.0
  (0, 915)	1.0
  (0, 996)	1.0
  (0, 1069)	1.0
  (0, 1091)	1.0
  (0, 1263)	1.0
  (0, 1347)	1.0
  (0, 1381)	1.0
  (0, 1388)	1.0"
461,"  (0, 19)	1.0
  (0, 85)	1.0
  (0, 89)	1.0
  (0, 168)	1.0
  (0, 292)	1.0
  (0, 385)	1.0
  (0, 398)	1.0
  (0, 599)	1.0
  (0, 691)	1.0
  (0, 768)	1.0
  (0, 785)	1.0
  (0, 911)	1.0
  (0, 988)	1.0
  (0, 1005)	1.0
  (0, 1071)	1.0
  (0, 1075)	1.0
  (0, 1177)	1.0
  (0, 1208)	1.0
  (0, 1209)	1.0
  (0, 1274)	1.0
  (0, 1392)	1.0
  (0, 1429)	1.0"
462,"  (0, 19)	1.0
  (0, 121)	1.0
  (0, 130)	1.0
  (0, 150)	1.0
  (0, 153)	1.0
  (0, 213)	1.0
  (0, 292)	1.0
  (0, 383)	1.0
  (0, 464)	1.0
  (0, 695)	1.0
  (0, 701)	1.0
  (0, 774)	1.0
  (0, 905)	1.0
  (0, 973)	1.0
  (0, 1061)	1.0
  (0, 1096)	1.0
  (0, 1102)	1.0
  (0, 1118)	1.0
  (0, 1162)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1263)	1.0
  (0, 1363)	1.0"
463,"  (0, 19)	1.0
  (0, 85)	1.0
  (0, 130)	1.0
  (0, 188)	1.0
  (0, 385)	1.0
  (0, 691)	1.0
  (0, 774)	1.0
  (0, 911)	1.0
  (0, 1075)	1.0
  (0, 1118)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1263)	1.0
  (0, 1324)	1.0
  (0, 1392)	1.0
  (0, 1431)	1.0"
464,"  (0, 18)	1.0
  (0, 118)	1.0
  (0, 135)	1.0
  (0, 206)	1.0
  (0, 234)	1.0
  (0, 414)	1.0
  (0, 537)	1.0
  (0, 750)	1.0
  (0, 758)	1.0
  (0, 895)	1.0
  (0, 911)	1.0
  (0, 937)	1.0
  (0, 1046)	1.0
  (0, 1075)	1.0
  (0, 1126)	1.0
  (0, 1143)	1.0
  (0, 1207)	1.0
  (0, 1290)	1.0
  (0, 1353)	1.0
  (0, 1393)	1.0
  (0, 1431)	1.0"
465,"  (0, 4)	1.0
  (0, 221)	1.0
  (0, 591)	1.0
  (0, 610)	1.0
  (0, 750)	1.0
  (0, 781)	1.0
  (0, 812)	1.0
  (0, 854)	1.0
  (0, 894)	1.0
  (0, 1060)	1.0
  (0, 1071)	1.0
  (0, 1097)	1.0
  (0, 1123)	1.0
  (0, 1205)	1.0
  (0, 1263)	1.0
  (0, 1355)	1.0
  (0, 1386)	1.0
  (0, 1387)	1.0
  (0, 1397)	1.0"
466,"  (0, 19)	1.0
  (0, 204)	1.0
  (0, 988)	1.0
  (0, 1274)	1.0"
467,"  (0, 4)	1.0
  (0, 40)	1.0
  (0, 190)	1.0
  (0, 234)	1.0
  (0, 460)	1.0
  (0, 566)	1.0
  (0, 605)	1.0
  (0, 606)	1.0
  (0, 624)	1.0
  (0, 758)	1.0
  (0, 1025)	1.0
  (0, 1180)	1.0
  (0, 1203)	1.0
  (0, 1205)	1.0
  (0, 1207)	1.0
  (0, 1263)	1.0
  (0, 1296)	1.0
  (0, 1301)	1.0
  (0, 1381)	1.0"
468,"  (0, 82)	1.0
  (0, 389)	1.0
  (0, 468)	1.0
  (0, 469)	1.0
  (0, 471)	1.0
  (0, 605)	1.0
  (0, 624)	1.0
  (0, 646)	1.0
  (0, 763)	1.0
  (0, 874)	1.0
  (0, 1144)	1.0
  (0, 1177)	1.0
  (0, 1266)	1.0
  (0, 1292)	1.0
  (0, 1330)	1.0
  (0, 1350)	1.0
  (0, 1351)	1.0
  (0, 1359)	1.0
  (0, 1387)	1.0"
469,"  (0, 19)	1.0
  (0, 52)	1.0
  (0, 57)	1.0
  (0, 80)	1.0
  (0, 132)	1.0
  (0, 133)	1.0
  (0, 233)	1.0
  (0, 335)	1.0
  (0, 416)	1.0
  (0, 447)	1.0
  (0, 754)	1.0
  (0, 755)	1.0
  (0, 760)	1.0
  (0, 774)	1.0
  (0, 794)	1.0
  (0, 813)	1.0
  (0, 814)	1.0
  (0, 957)	1.0
  (0, 1076)	1.0
  (0, 1205)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1359)	1.0
  (0, 1426)	1.0
  (0, 1432)	1.0"
470,"  (0, 19)	1.0
  (0, 369)	1.0
  (0, 383)	1.0
  (0, 393)	1.0
  (0, 759)	1.0
  (0, 774)	1.0
  (0, 1348)	1.0"
471,"  (0, 19)	1.0
  (0, 203)	1.0
  (0, 213)	1.0
  (0, 274)	1.0
  (0, 284)	1.0
  (0, 292)	1.0
  (0, 389)	1.0
  (0, 536)	1.0
  (0, 537)	1.0
  (0, 756)	1.0
  (0, 774)	1.0
  (0, 780)	1.0
  (0, 865)	1.0
  (0, 987)	1.0
  (0, 997)	1.0
  (0, 1177)	1.0
  (0, 1187)	1.0
  (0, 1263)	1.0
  (0, 1272)	1.0
  (0, 1278)	1.0
  (0, 1299)	1.0
  (0, 1378)	1.0
  (0, 1380)	1.0"
472,"  (0, 96)	1.0
  (0, 97)	1.0
  (0, 118)	1.0
  (0, 140)	1.0
  (0, 187)	1.0
